Stress1,Stress1Ex,Stress2,Stress2Ex,Stress3,Stress3Ex,Strategy1,Strategy2,Strategy3
fear of loss of Job,"unstable job market, uncertainties & unethical practices in employment creating stress due to fear of probable financial implications",Relationship,Huge expectations & greed for luxury life by spouse creating unnecessary stress in day to day life & relationship,when feeling powerless,"certain situations in day-to-day life when forced to deal with anti-social elements, corrupt co-workers & un-ethical people develops stress as we feel helpless","Improve performance at job, try to achieve more than expectation","Try to avoid confrontation, minimize arguments, extend freedom",Trying to learn methods & ways to fight it out or get away
money,My wife spends money too quickly before we can save,Children,I worry about them getting what they need,Job,I am in the military and have to move away from home alot.,I take more control of money,I stay closer to my son,I am close to retiring
work,hard work,family,comitments,friends,comites,free,free,free
money,new expenses all the time,coparenting,dealing with ex,work,shift work hours,work overtime,patience,take vacations
Work,When my work is not what I expected.,myself,When I make mistake.,family,When my family is unhappy.,calm down,try to figure out what happens,find solution
The Future,Stressed about getting a better job.,Relationships,Stressed about getting married and starting a family.,Work,Stressed about performance at work,Play video games with friends.,Work out.,Talk with my girlfriend.
Money,Not having enough money for all things I would like to have is stressful.,Marriage,A dysfunctional marriage,Family,A judgemental family,I put my energy into my work.,Taking a drive is my solution.,Avoiding them as much as I can.
Workplace tensions,When work becomes more,Travelling in traffic,Waiting in the traffic,Relationship issues,Issues regarding relations,Relax,Yoga,Drinking water
Driving in traffic,Traffic is always bad when I commute to and from work.,My job,My job is quite hectic most of the time and is very stressful.,Injured knee,I have been living with an injured knee for about 3 years and have to use a cane to get around. I cannot have knee replacement surgery at this time.,Turn on the car radio and listen to music while driving.,Do my job to the best of my ability and make sure that I take my breaks. ,I use a cane and take prescription pain medication to deal with the pain. 
work,i am expected to get a lot done,money,i dont have enough of it,death,it sucks,get work done,sell things,avoid risky situations
Job,I work as a firefighter/emt ,Money,"I work on a volunteer fire department so I don’t make much money, and I live paycheck to paycheck",Relationships ,Family and personal relationships can cause me stress.,Working out ,Hiking and other outdoor activities ,Drinking 
Harrassment,Non civilized life,Liers,People who lie,Life,BS life,Cry,Starve,Sleep
finances,trying to save money for retirement,family,toddler acting out and not listening to instructions,household chores,nobody cleans up after themselves and I don't like clutter,I try to set aside $100 out of every paycheck no matter what.,I try to distract him with books and games.,I am constantly picking up so that the mess doesn't build up and get overwhelming.
Moving to a new home.,its a biggest stress,Getting married.,coolest stress,Loss of a job.,its a main problem,Exercise regularly. ...,"Eat healthy, well-balanced meals.",Learn to manage your time more effectively.
parents,they are always complaining,money,seems there is never enough,work,"so much to do, little time to do it",music,exercise,take walks
Work,My job sucks and I don't enjoy being there,Family,My family expects a lot of me,Love,My love life isn't where I want it to be,I try to ignore it,I try to meet these expectations,I tell myself things will get better someday
school,it's very hard,relationship,im very stressed about my girlfriend,roomate,he is annoying,fail,leave her alone,ignore
Drama,People actively trying to be difficult ,Health Issues,Diabetes control ,Eating healthy,Resisting the temptation to eat junk,I don't participate in the drama,I exercise a little and test my blood sugar,I eat healthy filling foods and think of the benefits 
Parents,My aging parents are dramatic control freaks,Kids,My kids judge me,My job,Hard fast paced ,Baths,Talk to friends vent deflate,Draw
Americans say they fight with friends and loved .,you more aware of things around you and keep you more focused,"Employers should provide a stress-free work environment, recognise where ","Let's look at each of these types of stress in detail, and discuss how you can ... You worry about the number of things that you have to do, and you fear that you'll ..","Stress occurs when you perceive that demands placed on you — such as work, ... Some stress can be beneficial at times, producing a boost that provides the drive","Controlling stress is an active process which means that you will have to take ... Try to eat a well balanced diet, eating at least three regular meals a day.","At times it may seem that there's nothing you can do about stress and indeed ... Unfortunately, while these strategies can give some short-term ",regularly is one of the best ways to relax your body and mind. ... Most of all remember that doing any exercise is better than none at all. .., permission to step away from it you can ... Be aware of your unhealthy coping methods to dealing with stress.
Running in the negative (financially) every month.,"Spending all of our money on bills, and having no extra for savings or ""cushion""",Dealing with my daughter's health issues,My daughter is 1 year old and in the 3rd percentile for height and weight - which has had doctors concerned since she first fell down on the lower portion of this curve,Meeting short timelines at work,I often get stressed when the work piles up and I have short turnarounds and a very full plate of projects to complete for our clients.,"Frequent budget planning, discussing finances openly with my husband, cutting back on luxuries (eating out)","Keeping open communication with my daughter's doctor, finding high calorie foods that she enjoys, and keeping her on a consistent daily eating schedule","Set realistic deadlines, work nights/weekends to catch up on the workload"
my job,i have a lot of tasks and a deadline,bank,I have a big credit at the bank,my girlfriend, My girlfriend is very jealous and in stressful pestilence,I drink a lot of cofee and i try to finish my work at time,I can't diminuate this stress cause,I often ignore it
money,always worry if we gonna have enough,kid,always worry about him,work,there is always that going on,positive thinking,always being reday for the worst,walks with my dog
Money,Keeping up with the bills is getting harder all the time.,Transportation,Broken down vehicles require asking for a ride all the time.,Health,Chronic illnesses with family members keep us on our toes.,Budgeting (and doing without at times),Being patient and taking advantage of opportunities as they come,Accepting that whatever the day brings will be the agenda of the day.
School,trying to get homework done by the deadline,Work,dealing with daily tasks that need to be done,family,dealing with kids needs,go for a run,have a drink,meditate
Health,Dealing with my illnesses.,Medications,Worrying about the cost of my medications.,Finance,Worrying about money.,Going to therapy.,Looking for discounts and talking with doctors.,Keep track and budgeting.
Money,My wife an I have had money struggles over the past year.,Relationships,Being married there are always differences and challenges,Work,I work in surgery and it is a very stressful environment.,I practice meditation using an app.,I see a therapist once a month.,I exercise regularly to boost endorphine levels.
health issue,various illness ,future,financial security,children,about their well being,taking proper medicine,trying to strengthening financial condition ,taking care of children
health,I have chronic health issues that impact nearly every part of my life.,work,I am a manager of two vet clinics with some very challenging doctors.,money,"I just purchased a house, making my financial situation tighter than it used to be.",I try to follow my doctors' advice and seek treatment early / often.,"I utilize various resources available to me - other colleagues, forums, and networking to assist me in coming up with ideas to handle the situations that arise.",I am doing some extra work on Mechanical Turk!
Worrying about my son.,He makes poor choices sometimes.,Worrying about my twin grandsons.,Their parents are divorced and they are having a hard time with it.,Worrying about my best friend's health.,She has diabetes.,I try to think of other things to occupy my mind.,I try to be available for them as often as I can be.,I try to see her as often as I can.
money,Having enough money to pay rent and bills sufficiently each month,health,Having to deal with migraines often without an acceptable medication, job,Having the program director constantly harassing me trying to get me to quit,Try to pick up extra money here and there and online,Continue using older methods of medication and meeting with neurologist,Go to work determined not to let the director get to me
Money,Not having enough money. ,My car. ,It needs a few things to be fixed. ,My house ,It needs a new roof. ,Exercise,Relaxing,Reading
Traffic,My daily commute from home to work and back is so stressful most of the time. ,Car Issues,Driving my car on a daily basis makes me worry about when it's finally going to break down on me.,Credit Card Payments,Not being about to make the minimum monthly payments. ,I try to leave for work early. ,I just cross my fingers.. ,I try to make the monthly minimum. 
Money,I want to have enough money to improve out quality of life.,Child,It's an ongoing struggle to make sure our 10 year old is making good decisions to learn how to live a good and healthy life.,Friends,It's a lot of work to maintain meaningful relationships with friends when life is so busy.,I do whatever I can to make extra money. ,I partner with my wife to share the responsibility of guiding our son.,"I do a lot of ""cold calls"" to friends to maintain ongoing relationships."
work,working,time,to slow,money,not enough,smoke ,drink,relax
Money,Lack of money puts a strain on your relationships.,Work,Due to poor management skills this creates unneeded anger and issues.,No schooling,Lack of schooling and funds for college creates lots of issues in life.,"Exercise, IE: Running and weights",Talking with someone. ,Petting your animals.
Finding new job,I was recently laid off from my job.,Paying my bills,I was recently laid off from my job.,Getting money for food ,I was recently laid off from my job.,Looking for another job so that I can get an income again.,Collecting unemployment so I can pay my bills.,Sleeping when I can't afford food that way I'm not hungry.
work related stress,due to more work load i feel sometimes stress,in relationship,if any  problems in family it causes me stress,physical condition,if i am sick i am getting more stress,feel free mentally to reduce stress,try to avoid problems,eat healthy food
work,target,family,children future,society,self discipline ,yoga,meditation,listening to music
My finance causes me great stress.,I don't make enough to keep up with my expenses.,I am not where I want to be career wise.,I took a job with lesser pay because of the desire to stay in this town.,My health stresses me out.,I need to be more healthy.,Spend wisely.,Get a new job.,Be healthy.
Course work,I am often overwhelmed by the amount of work I have to do.,Relationships,Past and current relationships stress me out when I think about them too much.,Feeling inadequate or insecure,When I do not feel I have worth or that I am not doing a good job (in whatever I may be doing) I feel stressed.,Hanging out with good friends and family reduces stress.,Reading a good book reduces my stress.,Taking time to listen to new music or watch a show reduces stress.
Balancing home and work responsibilities,I take care of my 2 yr old by day and work overnight.,Not getting enough sleep.,Coming from work and hoping to get enough sleep before my son wakes up can be tough.,Not being able to stick to a savings plan.,We are always trying to save but never seem to be able to stick to it.,Just breathe and roll with it.,Sleep hypnosis and sleep meditation.,Talking it out with my husband.
Mom,Being a single mom of a three-year-old with no one to help with the help is very stressful as I don't have free time to myself.,Working mom,I work part-time to pay bills.,Finances,I actually don't have enough money to pay for all my bills and end up using my credit card for groceries.,I use deep breathing techniques with meditation.,I like have quiet alone time to myself.,I like to do light to vigorous exercises.
my health,I have a lot of health issues that make me worry a lot. ,My job,I work in a very fast paced environment. ,My pets ,They are constant attention grabbers and need a lot from me. ,Breathe ,Meditate,Relax. 
Money related issues.,"I often struggle month to month with meeting my obligations, and this sometimes stresses me out.",Family related issues.,"My family has a lot of different things going on with them, and although their issues are not always my problem, I can't help but to stress wondering if they're going to be okay.",Not being where I want to be at in life.,"I haven't accomplished a lot of the goals that I have set for myself, and it stresses me out knowing that I'm not living the life I want.",I try to actively pursue ways to add extra income.,I try to talk to and help them through their problems.,I make sure to exercise daily to help with the stress.
lack of funds,when i can not pay my bills,sickness,when i'm facing health problem,job problem,job crisis,find ways to get money,visit a doctor for medication,job pressure
JOB,work pressure,Money,not enough money in job,friends,most of my friends are rich and I don't feel good,gym,yoga,relaxation music
work,Taking on a new position with longer hours has been stressful.,home owning,Having to keep up with and take care of a house is stressful.,not having enough time,I feel like I never have enough hours in a day to get everything completed that I need to.,I like to hike to help clear my mind.,I go see a therapist every other week to help me keep my mind in order.,I try to get enough sleep so that I am physically and mentally sharp.
money,everything cost money! its stressful! im surprised the dont charge to breathe air.,Work,"making sur that i get everything done and get it done and time, is stressful",kids,"Though filled with lots of happiness, keeping a roff over there head and clothes on their back and food in their tummies is stressful",work more.,take it slow and just breathe.,take a spa bath when their sleeping haha
Money,Finances have always been a stressor and when money gets tight I start to worry.,Plans not going accordningly,"I am a planner and when things don't go as planned it stresses me out, I feel like I lose control.",Car troubles,When the car starts making an unknowingly funny sound out of no where I can't help but think how much money it is going to cost to fix it.,Reasoning,Taking a walk,Figuring out a solution and plan
school,getting good grades is hard,money,not having enough money,acceptance,not being liked by peers is not fun,i drink alcohol,i smoke cigarettes,i eat a lot of food
Lack of financial means,Too much student debt to pay off thus I don’t have enough financial means,Not being married,Getting older and yet I’m still not married ,Not being fulfilled in my career,Career is not fulfilling to me,Ignore it by watching tv or reading,Yoga and other workout classes,Go out to eat and hang out with friends
Work,Never enough help,Home,Too much to do and not enough time,Money,Never enough to get the things I want ,Train people better ,Plan to do certain chores each day,Find a better paying job 
Stress from running late.,"City of Los Angeles is very spread out and places often are far away from each other, so majority of people are running late or struggling with that on every day basis.",Stress from driving and dealing with too much traffic.,"I live in Los Angeles and there are tons of cars on the road everywhere at any given time of the day, but at some times it is terribly bad traffic and it is stressful to drive.",Depression.,"Battling ups and downs of depression that never really goes away, some days are better, some great but then inevitably worse again.",If I need to be somewhere important I leave earlier than supposed to so I double insure myself to be on time.,"Try to run errands and choose to go places at times of day and week when traffic is less. If I have to drive somewhere and it is a jam, I listen to audiobook and have a good time while ""sitting in traffic""","Meditate, read self help books, do aromatherapy, try to follow routine, listen to positive calming piano music, take a bath."
Working tarket Stress,My working company tarket complete Stress,Working Timing,Traffic late,Family problem Stress,Family Situation Stress,Working tarket Stress,Working Timing Stress,Family problem Stress
School Marks,Trying to get a good GPA in university,Religion,Trying to keep my parents happy by staying in their religion,Balancing life,"I have work, school, and religion to balance in my life",I manage my time and get help when needed,Talk to religious friends for advice,Taking breaks to do my hobbies
money,too many bills to pay not enough savings,relationship,its long distance,living situation,live with too many people,I work extra hours and sell items on ebay.,I try to talk with my partner every day and stay positive.,Find alone time outside of the house.
baby,just started to crawl,money,having enough money to pay rent,sleep,not getting enough sleep,making food helps get my mind off of things,making the baby laugh,getting out of the house
debt,I stress over money that I owe.,diet,I stress over eating healthy food.,co-workers,Some co-workers are difficult to work with.,I try to work extra to pay it off.,I keep only healthy foods in my house.,I try to worry about my tasks.
children,My children do above average risky behavior.,spouse,my spouse is currently incarcerated.,bills,Money comes after bills are due every month.,I meditate when youngest children are asleep.,I try to destress& clear my mind by watching cartoons.,I try to strategize how to prepay partial or full bill payments.
debt,i owe money in quite a few places,alcohol,i have a problem myself that i am working on but i live with two drunks,unemployment,i don't have a job and i honestly dont have the motivation to find one,i like to create so i knit or draw,i binge a lot of tv,i have an almost pack a day smoking habit
my husband ,he yells at me when he gets frustrated and he treats me like he hates me. ,money,no matter how much we make my husband thinks it is ok to spend whatever he wants ,bills ,i find it hard to pay bills on time due to my husbands spending,sleeping,medicaiton,music
Coworker,I have an ineffective coworker who does not do her job and the slack has to be picked up.,Retirement,I am working to save more money to retire at 45 and have to decide what expenses to cut while still enjoying life now.,Health,My toe has an ingrown toenail and it hurts and I need to go to the doctor.,I talk to my best friends and family about the coworker to vent.,I take time to do calculations on how much items cost and what that money could do in the long run as retirement savings to evaluate if expenses and budget changes are worthwhile.,I avoid thinking about it.
Work,Things at work can be very stressful. ,People,"People; usually at work, can also be stressful. ",Finances,Worrying about finances and being stable can be stressful at times.,Listen to music. ,Watch YouTube,Read. 
relax,close eyes and relax,breathe,close eyes and take a deep breath,walk,go out and take a walk,close eyes and relax,close eyes and take a deep breath,go out and take a walk
Work,working 10 hours a day is tiresome,children,running my household can be stressfull,traffic,sitting in traffic for hours can be stressful,take a warm bath,listen to meditational music,spend some time alone
Relationships,My relationship with wife is not working out.,Finance,I am not doing financially well,Health,I am having stress related health issues,Meditation,Working overtime,Exercise
Work,"I teach college students, so when my students plagiarize, don't follow instructions, I have grading deadlines for essays, etc., it can be stressful.",Children.,I homeschool my kids and have five of them; getting everything in and dealing with their behavioral problems can take a toll.,Money,"Every time things seem great, a major expense comes out of nowhere.","I pray, and it helps me stay calm and at peace.",I run because working out my body puts my energy somewhere and keeps me healthy.,I drink coffee or tea because I enjoy them.
School,All the work i have to complete for my classes is stressful,Driving,When I have to drive through traffic I feel stressed on how slow it is ,Money,Everything is so expensive nowadays so it's a hassle just to want things.,Watch youtube videos ,Eat dessert,Sleep
Finances,I stress that I will not have enough money to cover financial needs if I retire from the military,Family Health,I stress when I think my family is not taking measure to care for their own health,Weight,I stress about diet and exercise,Planning and budget spreadsheets,Research and discussions about probable cause of illnesses,Motivate myself to exercise
work,"I work over 45 hours every week, sometimes as much as 60",family life,"In addition to the many hours that I work, it's hard to keep up with family life but I try to.",romantic life,It's hard to give my husband the time and love that he deserves when I'm constantly working.,I workout when I can and release the tension.,I try to take the time to do something special with or for my family to show them that I love them.,I always do something for my husband to let him know that I'm constantly thinking about him and that I appreciate him.
Finances,I never seem to have enough money to get ahead or even keep up. ,Medical,"I have a lot of medical issues currently which are not only expensive, but they're trying to figure out how to treat it which sometimes makes me sicker. ",Exhaustion,I feel like I over extend myself and then I get so tired that I can't function. ,Marijuana,Anti anxiety meds,Walking the dogs 
Money,Not having enough money to pay bills.,Health,Health related issues in life.,Trump,The guy is a nut job.,Trying to save more.,Trying to get better and be healthier.,Trying not to think about it.
Internship,I work doing therapy with kids and it can be extremely stressful hearing their stories.,Supervisor,My supervisor is a bitch and keeps looking to get me in trouble,Money,I'm in school so money is a struggle,Meditation,Draw,Read
money ,not making enough ,kids ,making sure they have everything they need ,sleep ,not getting enough ,work more ,try to find deals ,try to wear myself out so i sleep more 
work,I am a teacher and have lots of responsbilities,home,feeling stress to maintain the house and be a good wife/parent,Childcare,There are days when my child has off school and I don't or want a babysitter and I need to figure out what to do,Maintaning a work/home balance,taking breaks and just doing the best I can,having multiple resources available so I can have a list to go through when I need help. 
work,Target pro,study,exam time,health,medical problem,very strees to achieve our target,passing exam is very tough,maintaining health condition is very big struggle for me
money,"fiancial burden, too many bills to pay, not enough money",children,taking care of children is very stressful,mom,"mom is very paranoid about her health, I'm tired of listen to the same thing for the past 30 years","earn more money, spend less",teach them to take care of themselves,take her to the doctor
My Job.,Working at a 911 facility where things always changes and any bad thing can happen at any moment of the day. ,Thinking about Future.,Not knowing what my future holds and what I might end up doing career wise stresses me out.,My family.,My silbings and my parents do things that cause me to worry alot. Not knowing if their safe or how they might handle things scare me. ,Color.,Start doing random activites.,Check up on my family everyday. 
Job,There are definitely times when I feel like I'm falling behind at work and not helping out my team.,Finances,There are times when I feel like I'm falling behind in the rat race (I didn't even want to run this race!).,Home,"Sometimes, I feel like I'm not taking good enough care of my cat.",I spend more time at work or figuring out the solutions to projects.,I fill out hits on Mturk for 20 cents. :),I try to set aside time to play with my cat each evening.
My house.,"After over 10 years of living in it, it is unfinished.",Clutter.,I am a minimalist and I live with pack rats.,Money.,"We are perpetually broke, despite working and having no bad habits.",Shut up and put up.,Shut up and put up.,Try not to think of it and focus on the good.
Stress of studies. ,"When I was studying in 10+2, i bear a lot of stress of studies.",Work Stress.,"Now, when I am doing my job, I am feeling much stress of work.",Stress of Family.,"Sometimes, responsibilities of family also causes stress to me.",I ususally listen to music.,I often take a short break and went out of station for fun.,I usually used to ignore family problems that cause me stress and take a good sleep.
"Americans say they fight with friends and loved ... of U.S. workers admit to experiencing office stress, and one-quarter ",you more aware of things around you and keep you more focused. In some cases stress can give you strength and help you get more done.,"Employers should provide a stress-free work environment, recognise where ... See the separate article on workplace wellbeing for a detailed explanation ","Stress occurs when you perceive that demands placed on you — such as work, ... Some stress can be beneficial at times, producing a boost that provides the drive","Controlling stress is an active process which means that you will have to take ... Try to eat a well balanced diet, eating at least three regular meals a day",CLOSE ALL ... We usually feel stressed when we think that the demands of the situation are ... Stress in the workplace can have many origins or come from one single ,"At times it may seem that there's nothing you can do about stress and indeed ... Unfortunately, while these strategies can give some short-term relief from or .",egularly is one of the best ways to relax your body and mind. ... Most of all remember that doing any exercise is better than none at all.," ""burnout"" – when everything seems bleak and you have nothing left to give. ... Make time for yourself, log out of Twitter and take breaks. ... No one steers our opinion."
Not enough time,Agressive timelines at work,Traffic,Morning rush hour and traffic ,Expenses,Additional expenses,Delegate work to employees,Get up earlier to avoid traffic,Only buy what is really necessary
I have too much debt.,I need to get out of debt.,I am overweight.,I need to lose weight.,Not enough time with family.,I need more time with my family.,I pray a lot.,I talk to family.,I try to rest.
when my blood sugar gets low,If I don't eat enough protein ,being on my feet too long,I have osteoarthritis in my L5,when I have pain in my sleep,my arthritis wakes me up at night,I eat high proten food until I feel better,I do back exercises,I take hydroxyzine to help me stay asleep
The death of a loved one.,loved one dies,Divorce,relationship or other family problems,Loss of a job.,A lack of control over work activities,Grief is a continuing process of mourning through which one learns to live with loss,Therefore almost anything can cause stress and it has different triggers.,Workplace stress can be caused by a number of factors – from heavy workloads and over-promotion to bullying and blame culture.
health,I worry about my health which causes me to stress out with the smallest of issues,money,I stress when I'm in a financial rut and can't seem to catch up,children,I stress about not being able to provide the essential things for my child,medication,finance education courses,make a budgetting plan
Troublesome people in daily life ,There are people who trouble me by their words and actions and behaviour. This gives me stress ,Heavy traffic ,Heavy traffic gives me stress while I'm riding,Colds and fevers and allergies ,"When I get these, I feel irritated and start cursing a bit.",I pray many hours daily for victory in *1,I exercise every day.,I rest in bed and try not to avoid nasty people
Work,Workload,Inside home,Handling children and maintenance,Outside Home,Stress coming from friends and colleague,To maintain proper health,To maintain healthy diet,Doing physical exercises to improve mental health
Loss of a job,Increase in financial obligations.,Getting married,Moving to a new home.,Chronic illness or injury,The death of a loved one.,Get More Sleep,Try Relaxation Techniques.,Talk to Someone
The death of a loved one.,They are my closed person.,Divorce,I love with them but she is leave,Loss of a job.,Difficult situation loss of a job,Get More Sleep.,Talk to Someone,Take Control
Special needs child,Have a child with a mood disorder that gets in lots of trouble..,Family work balance ,Stressed when I need to be with family but am at work and vice versa,Marriage ,Marriage blending families is stressful ,Coloring,Focus on the task at hand,Talking
My place of work.,I deal with hundreds of customers daily.,My diet.,I can never commit to eating healthy.,My income.,I don't make enough money to make ends meet.,Listen to nature recorded sounds,Yoga,Chill music playlist
Work,over load,Stress,family issues,unhealthy ,health issues,Reduce the work load,try to solve the family issues,take the treatment
work,target,depress,family situation,anxiety,diet,Get More Sleep. ...,Take Control. ...,Indulge in Physical Activity. ...
The death of a loved one.,MOST PAINFUL FOR MY LIFE,Loss of a job,ITS IS A ANOTHER BIG STRESS,Emotional problems ,"(depression, anxiety, anger, grief, guilt, low self-esteem)",Get More Sleep. ..,Talk to Someone. ..,Indulge in Physical Activity. ...
Exams,"As a senior in college, I am taking really difficult courses and my ability to graduate hinges on getting good exam grades.",Money,"I am on my own for rent, tuition, utilities, and groceries, so I have to work two jobs on top of going to school full time.",Relationships,"My boyfriend and I have been fighting a lot recently, and it causes a lot of unnecessary stress in our relationship.",Using a planner to schedule my time,Budgeting tools,Alcohol and friend 'therapy' sessions
Physical health,had 3 major surgeries in the past year,mental health,dealing with depression and anxiety,lawsuits,injured at work and was fired for it,talk therapy,art,exercise
work ,target pressure,children,handled child,driving,traffic signal,fully focused work,understanding child behaviour,early  time office going
Making a phone call to a stranger,They might yell at me. It's happened before when I dialed a wrong number,Waiting in line,I don't like being crowded and I get impatient,Current politics,They're so hateful,I limit my phone calls to strangers and use internet interfaces to make most appointments,I either look up things on my phone or practice breathing exercises,"I don't listen to the radio or watch TV news, and I practice Yoga and exercise"
work,too much work,work,pressure from boss,marital,trying to get home on time for dinner,focus on something else. maybe half on your job,only filter in half of what he or she says,turn some rockin music on and forget about the traffic
Money,Don't have enough,Work,Can't get my job done in time,Anxiety,I deal with allot self doupt,Breath step back ,Go for a walk.,Dont stress switch projects or ask for help
work,I have a very demanding job,money,We have to pay a lot of bills,worrying,I worry about my parents' health,Relax,Read,Take walks
Money,I never feel like I have enough money to cover my bills.,Work,I just started a new job and its stressful not knowing what I'm doing yet.,Family,I worry about my kids well-being and if I'm providing them enough.,I try to stick to a budget,Remind myself that I'm doing good and will learn what I need to eventually,Remind myself that I'm doing my best
University,"Thinking about homeworks, tests, expositions, lectures, reading and I have to get all those things ready for tomorrow.",Financial State,"Thinking about debts and financial duty, pay one thing, pay another and when you have done to pay every single penny there're another debts in a row",Safety,Thinking about social and violence state of my city and to know how many acts of violence are being executed around close neighborhoods,Do my activities at time,Buy things that I need and can really pay for them,Relax my mind and don't walk around those neighborhoods
When I write exams,I feel very nervous  when I write  exams,When I have a debt ,I get nervous  when I was not able  to repay a loan or any such liabilities.,When I suffer a health  issue or I am ill.,My mind gets  tensed  while I am suffering from a serious illness or injury,I try  reduce my stress by diverting  my mind to those things that interests  me most.,I listen  to my favorite  music.,I read books of my interests.
Work,It's generally stressful to be creative all the time in my work.,Family,They sometimes want me to prioritize what they want to do when I also have other obligations.,Getting in Shape,I have to eat food I don't really like.,I try to get enough sleep and communicate with my coworkers about ideas.,I try to be understanding of my family and think about how much they mean to me.,I think of the outcome which I will like.
money,Never have enough money,finding a new job,got laid off recently,marriage,girlfriend is pressuring me.,sleep more when i get stressed,masturbate more and more often,drink alcohol which helps calm the nerves
current job,"overload, less salary, non-permanent making more stress",marriage,my family member compelling to marriage my cousin but i am not interesting,future job,searching permanent job,doing yoga,listening soft music,studying work related course 
work,tasks I need to preform and insufficient time to complete,money,managing and stretching it far enough,household,finding energy to take care of the house,I will plug in headphones to listen to upbeat music to push through stressful moments,Sometimes I will lock my computer and take a walk around the pond to clear my head and refocus,In some situations taking a moment to talk to a peer helps me refocus
My health due to a recent surgery.,My job being I'm unable to to work right now because of the surgery.,Finances all the way around are stressful.,The worry on how bills will be paid due to my missing work.,My children can be very stressful.,They will not help me around the house and it has gotten worse since I've been sick.,I talk to friends and family about it.,I work on side projects to try to make any additional money I can.,I pray about it.
work ,less time,insomnia,less sleep,finance, price hike,yoga,meditation,music
COMPULSION,WHEN I FACE A SITUATION WHEREIN I AM COMPELLED TO DO CERTAIN THINGS THAT CHANGE MY ORIGINAL CHARACTER.,WORK LOAD,I GET STRESSED WHEN I AM IN A SITUATION TO COMPLETE CERTAIN WORK OR ACTIVITY WHICH IS BEYOND MY CAPACITY,SENTIMENT,"I EASILY GET STRESSED BECAUSE OF MY SENSITIVE AND EMOTIONAL NATURE, AS EVERYONE CAN EASILY TARGET MY FEELINGS.",I REGULARLY GO FOR AN HOUR WALK OUTSIDE.,I WILL LISTEN TO MY OWN LIST OF FAVOURITE SONGS.,I WILL GO OUT FOR SHOPPING.
Finances,"I'm a what ifer, so what if we get into a car accident, will we have enough to finance it",Work,I have an irrational fear I'm going to be fired because then I can't support my family,Friends,Am I a good enough fiend?,"I like to take a nap because then I don't have to deal with it, and approach it with a new view.","talk it out, sometimes I can figure out what I wanted to just by talking about it","read a book, allows me to be escape to a new reality"
job,work pressure in work place,Financial,Financial problem in my house,conveyance,No conveyance through directly,Getting good job,Getting some finance ,Buying vehicle
money,Having enough to pay the bills and put into savings ,Raising my son ,Being patient and consistent and loving on a daily basis ,My dogs,Dealing with training them giving them enough attention,Make a budget and review finances with husband ,Ask for help when needed from other people,Hire a trainer 
Finances,Unexpectedly lost job recently,Kids,Expecting a baby in February and not as prepared as I would have been if I hadn't lost my job,House,Moving within a year and have several house repairs/improvements that need to be taken care of,Side jobs ,Lots of hand me downs/thrift shopping,Trying to do as much as possible while myself
Raising my young children,Constantly refering their fighting and getting them prepared for each day,Worrying about bills,Always checking the account and evaluating bills to make sure we have enough each month.,Keeping a clean and tidy house,I never have a clean home because there's just not enough time in the day or space for all of our things. ,Always remind myself that these young years will pass. count to 10 a lot,Watch what we spend as a family. Keep a budget,Just try my best each day and never invite people over. 
Boss,Boss always dont think from worker side.  Even if worker is sick he asks worker to do the task with sickness.,Co-worker,Coworker compel me to do work even if i dont like,Work Time,Work timing is 12 hours per day that make me more stress,I dont bother him and I do not hear his speech I just do what I want,I never mind him and let him to tell anything and dont hear him and I do my work,Hear some songs if I get free time
Money,I have debts and an unstable job,Job,"Stressful job, I doubt myself",Health,I am better now and would like to stay that way. ,Planning,Continuing education,Following health plan. 
Money,money gives me more stress because i have to work 12 hours per day so it gives me more stress,health conditions of my family,in my house most of them doesn't have a good health condition due to the age.,polluted environment,"in my area most of the area is polluted by the dust, corbondioxide so it creates more health problem ",i spend time with my friends to drink and smoke at night.,i go to the doctor,i go alone in a very calm and peace full place
Decision making,I am afraid of upsetting someone or making the wrong decision and causing something negative.,Driving/traveling,I do not trust other drivers out on the road and weather plays a factor into it as well.,Being around people,I am extremely afraid of germs and being around other people makes me feel like I could catch something from them.,I do not really have a strategy for this.,Only driving during the day and only when it is perfect conditions.,Doing a lot of online ordering and not going out much.
Work,"I have competing, time sensitive deadlines that take more time than my work time allows.",Financial,I am preparing for retirement and do not have enough saved.,Family,I have a small family and they are located 3 states away.,Meditate and arrange my work tasks and stick to it.,Adjust my life style to no/low cost activities for leisure and invest the maximum in my retirement account.,Make arrangements for frequent phone calls and make it a priority to visit 2 times a year.
Death of a loved one.,"Yes, My friend death is very stressful movement.",Job loss.,One time i am very big mistake in my job. So i job is loss.,Major illness or injury.,Ago 1 year Major illness in my body.,"Avoid Caffeine, Alcohol, and Nicotine. ...",Indulge in Physical Activity. ...,Get More Sleep. ...
Work related ,When targets have to be met within a time frame.,Health issues ,Personal or any family member is sick.,Conflict ,conflict either at work or at home ,Medidation ,read a book ,go for a long walk 
Financial,"I have serious debt, and the collectors are harassing me",Marital ,Some trouble in.my marriage ,Health ,I.have a knee pain ,I am.inndialoguebwith the accruing parties,I go for a walk for an hour,I ignore it
